id,api_id,driver_best_results,driver_season_split,eligibility,name,reference,team_best_results,team_points_per_session,team_season_split
1,championshipsystem_nOtKOEQW,4,0,1,1950 - 1953 Championship,s1950,0,0,0
2,championshipsystem_34z7l8W7,5,0,1,1954 - 1957 Championship,s1954,0,0,0
3,championshipsystem_EEmoioVr,6,0,1,"1958, 1960, 1963-1965	Championship",s1958,6,1,0
4,championshipsystem_eOLDxHqq,5,0,1,"1959, 1961, 1962, 1966 Championship",s1959,5,1,0
5,championshipsystem_NTgvvIzr,-2,2,1,1967 - 1978 Championship,s1967,-2,1,2
6,championshipsystem_ihR4sGBs,4,3,1,1979 Championship,s1979,-1,0,0
7,championshipsystem_7uiLf6Kz,5,3,1,1980 Championship,s1980,-1,0,0
8,championshipsystem_NDb24yv7,11,0,1,1981-1990 Championship,s1981,-1,0,0
9,championshipsystem_wtKaesRL,-1,0,1,1991 - 2001 Championship,s1991,-1,0,0
10,championshipsystem_75E7BPMf,-1,0,2,2002 - Present Championship,s2002,-1,0,0
