id,altitude,api_id,country,country_code,latitude,locality,longitude,name,reference,wikipedia
1,153,circuit_W8rwFAJs,UK,GBR,52.0786,Silverstone,-1.01694,Silverstone Circuit,silverstone,https://en.wikipedia.org/wiki/Silverstone_Circuit
2,7,circuit_r30Ojrot,Monaco,MCO,43.7347,Monte Carlo,7.42056,Circuit de Monaco,monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco
3,223,circuit_fcUWpmRF,USA,USA,39.795,Indianapolis,-86.2347,Indianapolis Motor Speedway,indianapolis,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
4,551,circuit_Ft2AvzTa,Switzerland,CHE,46.9589,Bern,7.40194,Circuit Bremgarten,bremgarten,https://en.wikipedia.org/wiki/Circuit_Bremgarten
5,401,circuit_agKQuDST,Belgium,BEL,50.4372,Spa,5.97139,Circuit de Spa-Francorchamps,spa,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
6,88,circuit_mwO804dg,France,FRA,49.2542,Reims,3.93083,Reims-Gueux,reims,https://en.wikipedia.org/wiki/Reims-Gueux
7,162,circuit_vmT5q8o7,Italy,ITA,45.6156,Monza,9.28111,Autodromo Nazionale di Monza,monza,https://en.wikipedia.org/wiki/Monza_Circuit
8,578,circuit_gCKQzgQJ,Germany,DEU,50.3356,Nürburg,6.9475,Nürburgring,nurburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring
9,85,circuit_ZvC20Np8,Spain,ESP,41.3903,Barcelona,2.11667,Circuit de Pedralbes,pedralbes,https://en.wikipedia.org/wiki/Pedralbes_Circuit
10,81,circuit_LkixrMv6,France,FRA,49.3306,Rouen,1.00458,Rouen-Les-Essarts,essarts,https://en.wikipedia.org/wiki/Rouen-Les-Essarts
11,6,circuit_OLNnxVES,Netherlands,NLD,52.3888,Zandvoort,4.54092,Circuit Park Zandvoort,zandvoort,https://en.wikipedia.org/wiki/Circuit_Zandvoort
12,8,circuit_WuRnGMfM,Argentina,ARG,-34.6943,Buenos Aires,-58.4593,Autódromo Juan y Oscar Gálvez,galvez,https://en.wikipedia.org/wiki/Autódromo_Oscar_y_Juan_Gálvez
13,20,circuit_GuGere6Y,UK,GBR,53.4769,Liverpool,-2.94056,Aintree,aintree,https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
14,129,circuit_Tb8r9ElH,Italy,ITA,42.475,Pescara,14.1508,Pescara Circuit,pescara,https://en.wikipedia.org/wiki/Pescara_Circuit
15,28,circuit_0ftDFJMD,Portugal,PRT,41.1705,Oporto,-8.67325,Circuito da Boavista,boavista,https://en.wikipedia.org/wiki/Circuito_da_Boavista
16,19,circuit_MgQOAxrb,Morocco,MAR,33.5786,Casablanca,-7.6875,Ain Diab,ain-diab,https://en.wikipedia.org/wiki/Ain-Diab_Circuit
