id,adjustment_type,driver_id,highest_finish,is_eligible,points,position,round_id,round_number,season_id,session_id,session_number,win_count,year
1,0,1,1,t,9,1,1,1,,1,2,1,1950
2,0,2,2,t,6,2,1,1,,1,2,0,1950
3,0,3,3,t,4,3,1,1,,1,2,0,1950
4,0,4,4,t,3,4,1,1,,1,2,0,1950
5,0,5,5,t,2,5,1,1,,1,2,0,1950
6,0,6,6,f,0,,1,1,,1,2,0,1950
7,0,7,7,f,0,,1,1,,1,2,0,1950
8,0,8,8,f,0,,1,1,,1,2,0,1950
9,0,9,9,f,0,,1,1,,1,2,0,1950
10,0,10,10,f,0,,1,1,,1,2,0,1950
11,0,11,10,f,0,,1,1,,1,2,0,1950
12,0,12,11,f,0,,1,1,,1,2,0,1950
13,0,13,,f,0,,1,1,,1,2,0,1950
14,0,14,,f,0,,1,1,,1,2,0,1950
15,0,15,,f,0,,1,1,,1,2,0,1950
16,0,16,,f,0,,1,1,,1,2,0,1950
17,0,17,,f,0,,1,1,,1,2,0,1950
18,0,18,,f,0,,1,1,,1,2,0,1950
19,0,19,,f,0,,1,1,,1,2,0,1950
20,0,20,,f,0,,1,1,,1,2,0,1950
21,0,21,,f,0,,1,1,,1,2,0,1950
22,0,22,,f,0,,1,1,,1,2,0,1950
23,0,23,,f,0,,1,1,,1,2,0,1950
24,0,1,1,t,9,1,2,2,,4,2,1,1950
25,0,13,1,t,9,2,2,2,,4,2,1,1950
26,0,2,2,t,6,3,2,2,,4,2,0,1950
27,0,24,2,t,6,4,2,2,,4,2,0,1950
28,0,19,3,t,4,5,2,2,,4,2,0,1950
29,0,3,3,t,4,6,2,2,,4,2,0,1950
30,0,4,4,t,3,7,2,2,,4,2,0,1950
31,0,25,4,t,3,8,2,2,,4,2,0,1950
32,0,5,5,t,2,9,2,2,,4,2,0,1950
33,0,15,5,t,2,10,2,2,,4,2,0,1950
34,0,6,6,f,0,,2,2,,4,2,0,1950
35,0,12,7,f,0,,2,2,,4,2,0,1950
36,0,7,7,f,0,,2,2,,4,2,0,1950
37,0,8,8,f,0,,2,2,,4,2,0,1950
38,0,9,9,f,0,,2,2,,4,2,0,1950
39,0,10,10,f,0,,2,2,,4,2,0,1950
40,0,11,10,f,0,,2,2,,4,2,0,1950
41,0,26,,f,0,,2,2,,4,2,0,1950
42,0,27,,f,0,,2,2,,4,2,0,1950
43,0,14,,f,0,,2,2,,4,2,0,1950
44,0,28,,f,0,,2,2,,4,2,0,1950
45,0,18,,f,0,,2,2,,4,2,0,1950
46,0,16,,f,0,,2,2,,4,2,0,1950
47,0,17,,f,0,,2,2,,4,2,0,1950
48,0,29,,f,0,,2,2,,4,2,0,1950
49,0,30,,f,0,,2,2,,4,2,0,1950
50,0,20,,f,0,,2,2,,4,2,0,1950
51,0,31,,f,0,,2,2,,4,2,0,1950
52,0,21,,f,0,,2,2,,4,2,0,1950
53,0,22,,f,0,,2,2,,4,2,0,1950
54,0,32,,f,0,,2,2,,4,2,0,1950
55,0,23,,f,0,,2,2,,4,2,0,1950
56,0,33,,f,0,,2,2,,4,2,0,1950
57,0,1,1,t,9,1,3,3,,7,2,1,1950
58,0,13,1,t,9,2,3,3,,7,2,1,1950
59,0,34,1,t,9,3,3,3,,7,2,1,1950
60,0,2,2,t,6,4,3,3,,7,2,0,1950
61,0,24,2,t,6,5,3,3,,7,2,0,1950
62,0,35,2,t,6,6,3,3,,7,2,0,1950
63,0,19,3,t,4,7,3,3,,7,2,0,1950
64,0,3,3,t,4,8,3,3,,7,2,0,1950
65,0,36,3,t,4,9,3,3,,7,2,0,1950
66,0,4,4,t,3,10,3,3,,7,2,0,1950
67,0,25,4,t,3,11,3,3,,7,2,0,1950
68,0,37,4,t,3,12,3,3,,7,2,0,1950
69,0,5,5,t,2,13,3,3,,7,2,0,1950
70,0,15,5,t,2,14,3,3,,7,2,0,1950
71,0,38,5,t,1,15,3,3,,7,2,0,1950
72,0,39,5,t,1,16,3,3,,7,2,0,1950
73,0,6,6,f,0,,3,3,,7,2,0,1950
74,0,40,6,f,0,,3,3,,7,2,0,1950
75,0,12,7,f,0,,3,3,,7,2,0,1950
76,0,7,7,f,0,,3,3,,7,2,0,1950
77,0,41,7,f,0,,3,3,,7,2,0,1950
78,0,8,8,f,0,,3,3,,7,2,0,1950
79,0,42,8,f,0,,3,3,,7,2,0,1950
80,0,9,9,f,0,,3,3,,7,2,0,1950
81,0,43,9,f,0,,3,3,,7,2,0,1950
82,0,10,10,f,0,,3,3,,7,2,0,1950
83,0,11,10,f,0,,3,3,,7,2,0,1950
84,0,44,10,f,0,,3,3,,7,2,0,1950
85,0,45,11,f,0,,3,3,,7,2,0,1950
86,0,46,12,f,0,,3,3,,7,2,0,1950
87,0,47,13,f,0,,3,3,,7,2,0,1950
88,0,48,14,f,0,,3,3,,7,2,0,1950
89,0,49,15,f,0,,3,3,,7,2,0,1950
90,0,50,16,f,0,,3,3,,7,2,0,1950
91,0,51,17,f,0,,3,3,,7,2,0,1950
92,0,52,18,f,0,,3,3,,7,2,0,1950
93,0,53,19,f,0,,3,3,,7,2,0,1950
94,0,54,20,f,0,,3,3,,7,2,0,1950
95,0,55,21,f,0,,3,3,,7,2,0,1950
96,0,56,22,f,0,,3,3,,7,2,0,1950
97,0,57,23,f,0,,3,3,,7,2,0,1950
98,0,58,24,f,0,,3,3,,7,2,0,1950
99,0,26,,f,0,,3,3,,7,2,0,1950
100,0,27,,f,0,,3,3,,7,2,0,1950
101,0,14,,f,0,,3,3,,7,2,0,1950
102,0,28,,f,0,,3,3,,7,2,0,1950
103,0,18,,f,0,,3,3,,7,2,0,1950
104,0,16,,f,0,,3,3,,7,2,0,1950
105,0,17,,f,0,,3,3,,7,2,0,1950
106,0,29,,f,0,,3,3,,7,2,0,1950
107,0,30,,f,0,,3,3,,7,2,0,1950
108,0,20,,f,0,,3,3,,7,2,0,1950
109,0,31,,f,0,,3,3,,7,2,0,1950
110,0,21,,f,0,,3,3,,7,2,0,1950
111,0,22,,f,0,,3,3,,7,2,0,1950
112,0,32,,f,0,,3,3,,7,2,0,1950
113,0,23,,f,0,,3,3,,7,2,0,1950
114,0,33,,f,0,,3,3,,7,2,0,1950
115,0,59,,f,0,,3,3,,7,2,0,1950
116,0,60,,f,0,,3,3,,7,2,0,1950
117,0,61,,f,0,,3,3,,7,2,0,1950
118,0,62,,f,0,,3,3,,7,2,0,1950
119,0,63,,f,0,,3,3,,7,2,0,1950
120,0,64,,f,0,,3,3,,7,2,0,1950
121,0,65,,f,0,,3,3,,7,2,0,1950
122,0,66,,f,0,,3,3,,7,2,0,1950
123,0,67,,f,0,,3,3,,7,2,0,1950
124,0,1,1,t,18,1,4,4,,10,2,2,1950
125,0,2,2,t,12,2,4,4,,10,2,0,1950
126,0,13,1,t,9,3,4,4,,10,2,1,1950
127,0,34,1,t,9,4,4,4,,10,2,1,1950
128,0,24,2,t,6,5,4,4,,10,2,0,1950
129,0,35,2,t,6,6,4,4,,10,2,0,1950
130,0,5,3,t,6,7,4,4,,10,2,0,1950
131,0,15,4,t,5,8,4,4,,10,2,0,1950
132,0,19,3,t,4,9,4,4,,10,2,0,1950
133,0,3,3,t,4,10,4,4,,10,2,0,1950
134,0,36,3,t,4,11,4,4,,10,2,0,1950
135,0,25,4,t,3,12,4,4,,10,2,0,1950
136,0,4,4,t,3,13,4,4,,10,2,0,1950
137,0,37,4,t,3,14,4,4,,10,2,0,1950
138,0,68,5,t,2,15,4,4,,10,2,0,1950
139,0,38,5,t,1,16,4,4,,10,2,0,1950
140,0,39,5,t,1,17,4,4,,10,2,0,1950
141,0,6,6,f,0,,4,4,,10,2,0,1950
