id,api_id,duration,lap_id,local_timestamp,number,session_entry_id
1,pitstop_IYavKg2C,00:00:24.036,275638,17:59:17,2,27696
2,pitstop_XDzyA9tn,00:00:22.603,275672,17:25:17,1,27696
3,pitstop_c0OV7PJY,00:00:23.227,275742,17:28:24,1,27700
4,pitstop_SFBiesKg,00:00:23.199,275746,17:59:29,2,27700
5,pitstop_ZS3hcaW8,00:00:24.535,275769,17:28:39,1,27704
6,pitstop_rNxUeXu4,00:00:25.683,275789,17:59:47,2,27704
7,pitstop_MHBgoKH9,00:00:23.251,275826,17:22:34,1,27708
8,pitstop_gjJF69ZM,00:00:24.733,275841,17:46:04,2,27708
9,pitstop_a3BHNNO6,00:00:24.181,275856,18:09:08,3,27708
10,pitstop_9jCnvfPN,00:00:23.426,275886,17:20:48,1,27712
11,pitstop_fmaXGfII,00:00:22.52,275901,17:44:29,2,27712
12,pitstop_KTiFLaGb,00:00:26.23,275916,18:07:37,3,27712
13,pitstop_eL7rLcDs,00:00:16.867,275953,17:30:24,1,27716
14,pitstop_ogv6fMrg,00:00:23.303,275955,17:33:53,2,27716
15,pitstop_MluUqEnT,00:00:22.681,275973,18:01:49,3,27716
16,pitstop_uF7gVUW6,00:00:23.842,276010,17:24:10,1,27720
17,pitstop_0NkIlM32,00:00:24.5,276028,17:52:28,2,27720
18,pitstop_WUDKEVrv,00:00:24.095,276045,18:18:54,3,27720
19,pitstop_RK4B7sSO,00:00:25.342,276073,17:27:34,1,27724
20,pitstop_OPTfhfDM,00:00:23.1,276087,17:49:47,2,27724
21,pitstop_eGvj2P1J,00:00:25.978,276134,17:29:08,1,27728
22,pitstop_EEcpPMXQ,00:00:23.871,276155,18:02:15,2,27728
23,pitstop_RXU64d3o,00:00:24.863,276191,17:26:03,1,27731
24,pitstop_ft9eYzjt,00:00:24.332,276213,18:00:48,2,27731
25,pitstop_tZAtyoq6,00:00:26.898,276237,17:05:23,1,27734
26,pitstop_6uGNWP5w,00:00:24.463,276253,17:31:06,2,27734
27,pitstop_ObMKAc1I,00:00:26.348,276271,17:59:45,3,27734
28,pitstop_3ZlZcM8F,00:00:22.994,276310,17:27:41,1,27737
29,pitstop_kyk0PidD,00:00:25.098,276325,17:51:32,2,27737
30,pitstop_V0ygazJT,00:00:24.899,276369,17:29:49,1,27739
31,pitstop_xX6ogb3o,00:00:24.848,276390,18:03:55,2,27739
32,pitstop_2KeWUNzY,00:00:25.259,276424,17:26:50,1,27741
33,pitstop_GhAWQP9z,00:00:26.446,276448,18:06:53,2,27741
34,pitstop_bsZ2f7RM,00:00:23.792,276483,17:33:02,1,27743
35,pitstop_gqrveBMy,00:00:23.643,276528,17:24:29,1,27745
36,pitstop_UsyGI5Qw,00:00:37.856,276538,17:40:45,2,27745
37,pitstop_82KoumLA,00:00:16.892,276543,17:49:07,3,27745
38,pitstop_r5rhU6xY,00:00:26.309,276555,18:08:03,4,27745
39,pitstop_SmNxwoJA,00:00:23.716,276580,17:29:00,1,27747
