id,api_id,circuit_id,date,is_cancelled,name,number,race_number,season_id,wikipedia
1,round_Pt9PwCgv,1,1950-05-13,f,British Grand Prix,1,1,1,https://en.wikipedia.org/wiki/1950_British_Grand_Prix
2,round_cAbLcO1L,2,1950-05-21,f,Monaco Grand Prix,2,2,1,https://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
3,round_RhrrZnkp,3,1950-05-30,f,Indianapolis 500,3,3,1,https://en.wikipedia.org/wiki/1950_Indianapolis_500
4,round_bcZ0QJDy,4,1950-06-04,f,Swiss Grand Prix,4,4,1,https://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
5,round_0hDWfNbp,5,1950-06-18,f,Belgian Grand Prix,5,5,1,https://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
6,round_E9j0OlQF,6,1950-07-02,f,French Grand Prix,6,6,1,https://en.wikipedia.org/wiki/1950_French_Grand_Prix
7,round_ASDsCyCn,7,1950-09-03,f,Italian Grand Prix,7,7,1,https://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
8,round_0tJV4QpB,4,1951-05-27,f,Swiss Grand Prix,1,8,2,https://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
9,round_cvVY7bti,3,1951-05-30,f,Indianapolis 500,2,9,2,https://en.wikipedia.org/wiki/1951_Indianapolis_500
10,round_h5UEFsPX,5,1951-06-17,f,Belgian Grand Prix,3,10,2,https://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix
11,round_1Uwo5oHj,6,1951-07-01,f,French Grand Prix,4,11,2,https://en.wikipedia.org/wiki/1951_French_Grand_Prix
12,round_maKXuPEJ,1,1951-07-14,f,British Grand Prix,5,12,2,https://en.wikipedia.org/wiki/1951_British_Grand_Prix
13,round_8LFRJRjj,8,1951-07-29,f,German Grand Prix,6,13,2,https://en.wikipedia.org/wiki/1951_German_Grand_Prix
14,round_I6ufd8hP,7,1951-09-16,f,Italian Grand Prix,7,14,2,https://en.wikipedia.org/wiki/1951_Italian_Grand_Prix
15,round_optSnG5z,9,1951-10-28,f,Spanish Grand Prix,8,15,2,https://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix
16,round_sx9NfVk7,4,1952-05-18,f,Swiss Grand Prix,1,16,3,https://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix
17,round_AQbbOIsp,3,1952-05-30,f,Indianapolis 500,2,17,3,https://en.wikipedia.org/wiki/1952_Indianapolis_500
18,round_2S7nIvK4,5,1952-06-22,f,Belgian Grand Prix,3,18,3,https://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix
19,round_JyH4oW9x,10,1952-07-06,f,French Grand Prix,4,19,3,https://en.wikipedia.org/wiki/1952_French_Grand_Prix
20,round_v830We8o,1,1952-07-19,f,British Grand Prix,5,20,3,https://en.wikipedia.org/wiki/1952_British_Grand_Prix
21,round_s4ptuWXi,8,1952-08-03,f,German Grand Prix,6,21,3,https://en.wikipedia.org/wiki/1952_German_Grand_Prix
22,round_zVcuHcv0,11,1952-08-17,f,Dutch Grand Prix,7,22,3,https://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix
23,round_wccJIRoj,7,1952-09-07,f,Italian Grand Prix,8,23,3,https://en.wikipedia.org/wiki/1952_Italian_Grand_Prix
24,round_uIW6a9Yw,12,1953-01-18,f,Argentine Grand Prix,1,24,4,https://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix
25,round_yf5ljqpL,3,1953-05-30,f,Indianapolis 500,2,25,4,https://en.wikipedia.org/wiki/1953_Indianapolis_500
26,round_HJOkU2LF,11,1953-06-07,f,Dutch Grand Prix,3,26,4,https://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix
27,round_MWlh2WTx,5,1953-06-21,f,Belgian Grand Prix,4,27,4,https://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix
28,round_6PZcm6fF,6,1953-07-05,f,French Grand Prix,5,28,4,https://en.wikipedia.org/wiki/1953_French_Grand_Prix
29,round_R3xI7bP6,1,1953-07-18,f,British Grand Prix,6,29,4,https://en.wikipedia.org/wiki/1953_British_Grand_Prix
30,round_TsAqs9rF,8,1953-08-02,f,German Grand Prix,7,30,4,https://en.wikipedia.org/wiki/1953_German_Grand_Prix
31,round_MGy7EdPP,4,1953-08-23,f,Swiss Grand Prix,8,31,4,https://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix
32,round_9Ig1NQbQ,7,1953-09-13,f,Italian Grand Prix,9,32,4,https://en.wikipedia.org/wiki/1953_Italian_Grand_Prix
33,round_KgFwuhMZ,12,1954-01-17,f,Argentine Grand Prix,1,33,5,https://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix
34,round_CjoWkNZZ,3,1954-05-31,f,Indianapolis 500,2,34,5,https://en.wikipedia.org/wiki/1954_Indianapolis_500
35,round_zWHTpXp2,5,1954-06-20,f,Belgian Grand Prix,3,35,5,https://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix
36,round_YKkxB1lr,6,1954-07-04,f,French Grand Prix,4,36,5,https://en.wikipedia.org/wiki/1954_French_Grand_Prix
37,round_afjYNCPO,1,1954-07-17,f,British Grand Prix,5,37,5,https://en.wikipedia.org/wiki/1954_British_Grand_Prix
38,round_BMnwuPgn,8,1954-08-01,f,German Grand Prix,6,38,5,https://en.wikipedia.org/wiki/1954_German_Grand_Prix
39,round_bxH8xiWA,4,1954-08-22,f,Swiss Grand Prix,7,39,5,https://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix
40,round_VH4yJHYV,7,1954-09-05,f,Italian Grand Prix,8,40,5,https://en.wikipedia.org/wiki/1954_Italian_Grand_Prix
41,round_WpASk3s7,9,1954-10-24,f,Spanish Grand Prix,9,41,5,https://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix
42,round_Ku5EOwPx,12,1955-01-16,f,Argentine Grand Prix,1,42,6,https://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix
