id,api_id,detail,fastest_lap_rank,grid,is_classified,is_eligible_for_points,laps_completed,points,position,round_entry_id,session_id,status,time
1,sessionentry_AJVCqvHP,Finished,,1,t,t,70,9,1,1,1,0,02:13:23.6
2,sessionentry_nTuoeGU3,Finished,,2,t,t,70,6,2,2,1,0,02:13:26.2
3,sessionentry_YtaG16NK,Finished,,4,t,t,70,4,3,3,1,0,02:14:15.6
4,sessionentry_1vAEWr3Z,+2 Laps,,6,t,t,68,3,4,4,1,1,
5,sessionentry_nycFnYH2,+2 Laps,,9,t,t,68,2,5,5,1,1,
6,sessionentry_4cEC48K5,+3 Laps,,13,t,t,67,0,6,6,1,1,
7,sessionentry_j4qRaXlE,+3 Laps,,15,t,t,67,0,7,7,1,1,
8,sessionentry_h0idj5HU,+5 Laps,,14,t,t,65,0,8,8,1,1,
9,sessionentry_oMmIQSb1,+6 Laps,,16,t,t,64,0,9,9,1,1,
10,sessionentry_QdpAcCDt,+6 Laps,,20,t,t,64,0,10,10,1,1,
11,sessionentry_QcceOXf9,+6 Laps,,20,t,t,64,0,10,11,1,1,
12,sessionentry_OeYo0QLX,+6 Laps,,21,t,t,64,0,11,12,1,1,
13,sessionentry_hsfd6ddD,Oil leak,,3,f,t,62,0,12,13,1,11,
14,sessionentry_t5DdRpNe,Not classified,,19,f,t,57,0,13,14,1,1,
15,sessionentry_c79gYyTg,Out of fuel,,5,f,t,49,0,14,15,1,11,
16,sessionentry_8UxvAvec,Engine,,18,f,t,44,0,15,16,1,11,
17,sessionentry_udxpH1uy,Transmission,,17,f,t,43,0,16,17,1,11,
18,sessionentry_cEoYLbdm,Engine,,8,f,t,36,0,17,18,1,11,
19,sessionentry_9WcznSFm,Clutch,,11,f,t,26,0,18,19,1,11,
20,sessionentry_vj33GPRh,Oil pressure,,7,f,t,8,0,19,20,1,11,
21,sessionentry_ns1o0Vrq,Gearbox,,10,f,t,5,0,20,21,1,11,
22,sessionentry_XMKkDsG8,Gearbox,,10,f,t,5,0,20,22,1,11,
23,sessionentry_bfDc59x4,Supercharger,,12,f,t,2,0,21,23,1,11,
24,sessionentry_XkBtWaTi,Finished,,1,t,t,100,9,1,24,4,0,03:13:18.7
25,sessionentry_aeQ3DCRu,+1 Lap,,7,t,t,99,6,2,25,4,1,
26,sessionentry_G1EGyinC,+2 Laps,,8,t,t,98,4,3,26,4,1,
27,sessionentry_qCMO7AJU,+3 Laps,,9,t,t,97,3,4,27,4,1,
28,sessionentry_DtjtFZCz,+5 Laps,,15,t,t,95,2,5,28,4,1,
29,sessionentry_JXkOuLyF,+6 Laps,,16,t,t,94,0,6,29,4,1,
30,sessionentry_Jfzs28mB,+6 Laps,,19,t,t,94,0,7,30,4,1,
31,sessionentry_mlmjLuBi,Axle,,6,f,t,63,0,8,31,4,11,
32,sessionentry_Mh8l5AjH,Oil leak,,4,f,t,38,0,9,32,4,11,
33,sessionentry_RRd4lLp2,Accident,,3,f,t,1,0,10,33,4,10,
34,sessionentry_951sR98v,Accident,,2,f,t,0,0,11,34,4,10,
35,sessionentry_WLljZeJ9,Accident,,5,f,t,0,0,12,35,4,10,
36,sessionentry_QGzpnBoR,Accident,,10,f,t,0,0,13,36,4,10,
37,sessionentry_nrU9J0k1,Accident,,11,f,t,0,0,14,37,4,10,
38,sessionentry_JlazP3OY,Accident,,12,f,t,0,0,15,38,4,10,
39,sessionentry_bNqtaeGl,Accident,,13,f,t,0,0,16,39,4,10,
40,sessionentry_ocQPK6Ml,Accident,,14,f,t,0,0,17,40,4,10,
41,sessionentry_2AY8sIes,Accident,,17,f,t,0,0,18,41,4,10,
42,sessionentry_dGCyNvHm,Collision,,20,f,t,0,0,19,42,4,10,
43,sessionentry_clnhApGo,Engine,,21,f,t,0,0,20,43,4,30,
44,sessionentry_v6G5OAvN,Accident,,18,f,t,0,0,21,44,4,30,
45,sessionentry_c3ENvkxB,Finished,,5,t,t,138,9,1,45,7,0,02:46:55.97
46,sessionentry_WQLAPJ8G,+1 Lap,,10,t,t,137,6,2,46,7,1,
47,sessionentry_PQXaA1YW,+1 Lap,,3,t,t,137,4,3,47,7,1,
48,sessionentry_9opaFwaG,+1 Lap,,12,t,t,137,3,4,48,7,1,
49,sessionentry_b271QqEl,+2 Laps,,9,t,t,136,1,5,49,7,1,
50,sessionentry_60Rkb7RY,+2 Laps,,9,t,t,136,1,5,50,7,1,
51,sessionentry_XVFjTZp3,+2 Laps,,23,t,t,136,0,6,51,7,1,
52,sessionentry_TZWQsEep,+3 Laps,,1,t,t,135,0,7,52,7,1,
53,sessionentry_1UfHKNow,+3 Laps,,4,t,t,135,0,8,53,7,1,
54,sessionentry_vKBGGWH6,+3 Laps,,19,t,t,135,0,9,54,7,1,
55,sessionentry_1Aki9O5X,+3 Laps,,11,t,t,135,0,10,55,7,1,
56,sessionentry_fF1tHxL9,+5 Laps,,16,t,t,133,0,11,56,7,1,
57,sessionentry_jliO6CRB,+5 Laps,,13,t,t,133,0,12,57,7,1,
58,sessionentry_8V3jlxg9,+6 Laps,,26,t,t,132,0,13,58,7,1,
59,sessionentry_JWUxDIG8,Spun off,,6,t,t,131,0,14,59,7,10,
60,sessionentry_tO0lHnbo,+8 Laps,,24,t,t,130,0,15,60,7,1,
61,sessionentry_yh62SHGp,+10 Laps,,31,t,t,128,0,16,61,7,1,
62,sessionentry_Z6Xds1J6,+10 Laps,,27,t,t,128,0,17,62,7,1,
63,sessionentry_ER396pfm,+10 Laps,,33,t,t,128,0,18,63,7,1,
64,sessionentry_gDdiqqR0,+11 Laps,,20,t,t,127,0,19,64,7,1,
65,sessionentry_40M9rfXM,+12 Laps,,14,t,t,126,0,20,65,7,1,
66,sessionentry_vBUyFyXt,+13 Laps,,15,t,t,125,0,21,66,7,1,
67,sessionentry_Gmy55n5m,+15 Laps,,29,t,t,123,0,22,67,7,1,
68,sessionentry_GwOjupnQ,Spun off,,30,t,t,123,0,23,68,7,10,
69,sessionentry_cBts6oSy,+16 Laps,,28,t,t,122,0,24,69,7,1,
70,sessionentry_OkfR6YY1,Oil line,,21,f,t,112,0,25,70,7,11,
71,sessionentry_xADDjWHX,Transmission,,22,f,t,111,0,26,71,7,11,
72,sessionentry_v08oHLKl,Oil pressure,,17,f,t,108,0,27,72,7,11,
73,sessionentry_Du23PEyG,Oil pressure,,17,f,t,108,0,27,73,7,11,
74,sessionentry_4FwqVCPP,Oil leak,,2,f,t,64,0,28,74,7,11,
75,sessionentry_pQommTbJ,Supercharger,,32,f,t,52,0,29,75,7,11,
76,sessionentry_i7pvrvcO,Oil pressure,,25,f,t,42,0,30,76,7,11,
77,sessionentry_Jlur7dIO,Wheel bearing,,8,f,t,30,0,31,77,7,11,
78,sessionentry_J6H2vvqZ,Stalled,,18,f,t,25,0,32,78,7,11,
79,sessionentry_nULqa2P8,Oil leak,,7,f,t,10,0,33,79,7,11,
80,sessionentry_6yMLEVUi,Finished,,2,t,t,42,9,1,80,10,0,02:02:53.7
81,sessionentry_2gtSBGX6,Finished,,3,t,t,42,6,2,81,10,0,02:02:54.1
82,sessionentry_4eezmOVZ,+1 Lap,,10,t,t,41,4,3,82,10,1,
83,sessionentry_2zFRvvOt,+2 Laps,,8,t,t,40,3,4,83,10,1,
84,sessionentry_XbU7n71b,+2 Laps,,12,t,t,40,2,5,84,10,1,
85,sessionentry_5WiVQiF7,+2 Laps,,11,t,t,40,0,6,85,10,1,
86,sessionentry_4qaplW3l,+3 Laps,,15,t,t,39,0,7,86,10,1,
87,sessionentry_gsO7avgi,+3 Laps,,18,t,t,39,0,8,87,10,1,
88,sessionentry_hmp5j27g,+3 Laps,,16,t,t,39,0,9,88,10,1,
89,sessionentry_8cNIpEp6,+4 Laps,,14,t,t,38,0,10,89,10,1,
90,sessionentry_RmT9D5R6,+7 Laps,,17,t,t,35,0,11,90,10,1,
91,sessionentry_9vlnSBIb,Engine,,1,f,t,32,0,12,91,10,11,
92,sessionentry_q5yIMlnh,Gearbox,,6,f,t,25,0,13,92,10,11,
93,sessionentry_xyvyy2Gw,Accident,,9,f,t,19,0,14,93,10,10,
94,sessionentry_ab4bXzGW,Suspension,,13,f,t,19,0,15,94,10,11,
95,sessionentry_IV6Fyu9m,Engine,,4,f,t,9,0,16,95,10,11,
96,sessionentry_NJKxBEt3,Oil pump,,5,f,t,4,0,17,96,10,11,
97,sessionentry_CWp4UUEM,Accident,,7,f,t,0,0,18,97,10,10,
98,sessionentry_RLECp90a,Finished,,2,t,t,35,8,1,98,13,0,02:47:26
99,sessionentry_A6KQLy1E,Finished,,3,t,t,35,6,2,99,13,0,02:47:40
100,sessionentry_N3jWGepv,Finished,,8,t,t,35,4,3,100,13,0,02:49:45
101,sessionentry_vcB8CxGc,Finished,,1,t,t,35,4,4,101,13,0,02:51:31
102,sessionentry_3lhqUu2r,+1 Lap,,7,t,t,34,2,5,102,13,1,
103,sessionentry_hvrhhfjX,+2 Laps,,4,t,t,33,0,6,103,13,1,
104,sessionentry_aKrShtMP,+2 Laps,,10,t,t,33,0,7,104,13,1,
105,sessionentry_HiP7I82B,+3 Laps,,14,t,t,22,0,8,105,13,1,
106,sessionentry_uVRNKjjE,+5 Laps,,12,t,t,30,0,9,106,13,1,
107,sessionentry_YLo3DWA2,+6 Laps,,11,t,t,29,0,10,107,13,1,
108,sessionentry_F7DjLJR3,Oil pipe,,13,f,t,22,0,11,108,13,11,
109,sessionentry_jFzNGAjt,Oil pressure,,5,f,t,20,0,12,109,13,11,
110,sessionentry_cVWlPaAA,Overheating,,6,f,t,15,0,13,110,13,11,
111,sessionentry_3WMQfj64,Oil pipe,,9,f,t,2,0,14,111,13,11,
112,sessionentry_kVANP9Hr,Finished,,1,t,t,64,9,1,112,16,0,02:57:52.8
113,sessionentry_bY3iwWok,Finished,,3,t,t,64,6,2,113,16,0,02:58:18.5
114,sessionentry_JRzfhxgL,+3 Laps,,18,t,t,61,4,3,114,16,1,
115,sessionentry_hUV1w78v,+3 Laps,,12,t,t,61,3,4,115,16,1,
116,sessionentry_nPPi0yNT,+5 Laps,,4,t,t,59,1,5,116,16,1,
117,sessionentry_C03triL5,+5 Laps,,4,t,t,59,1,5,117,16,1,
118,sessionentry_waygI4Wa,+8 Laps,,15,t,t,56,0,6,118,16,1,
119,sessionentry_nyx5yOUV,+8 Laps,,15,t,t,56,0,6,119,16,1,
120,sessionentry_Gt8oXMJN,Fuel pump,,2,t,t,55,0,7,120,16,11,
121,sessionentry_DI2L03Gq,+12 Laps,,5,t,t,52,0,8,121,16,1,
122,sessionentry_XLFTgbl5,Engine,,9,f,t,36,0,9,122,16,11,
123,sessionentry_KsAUt0cx,Engine,,10,f,t,14,0,10,123,16,11,
124,sessionentry_b86Unha8,Overheating,,14,f,t,11,0,11,124,16,11,
125,sessionentry_jy7RhyLD,Overheating,,6,f,t,10,0,12,125,16,11,
126,sessionentry_jIFGj5GW,Engine,,11,f,t,9,0,13,126,16,11,
127,sessionentry_GibVjuvD,Engine,,7,f,t,6,0,14,127,16,11,
128,sessionentry_a2blznMW,Engine,,13,f,t,6,0,15,128,16,11,
129,sessionentry_2hqWQpkx,Engine,,17,f,t,5,0,16,129,16,11,
130,sessionentry_lbEN5RFa,Overheating,,16,f,t,4,0,17,130,16,11,
131,sessionentry_C7UsakPn,Engine,,8,f,t,3,0,18,131,16,11,
132,sessionentry_6OkO5JvA,Finished,,3,t,t,80,8,1,132,19,0,02:51:17.4
133,sessionentry_nqRZyjPM,Finished,,6,t,t,80,3,2,133,19,0,02:52:36
134,sessionentry_N1yt8nI9,Finished,,6,t,t,80,3,2,134,19,0,
135,sessionentry_wPOpkvil,Finished,,5,t,t,80,4,3,135,19,0,02:52:53
136,sessionentry_9NLi5kfW,+5 Laps,,13,t,t,75,3,4,136,19,1,
137,sessionentry_7zFE0Xqr,+5 Laps,,16,t,t,75,2,5,137,19,1,
138,sessionentry_FOyYIVR5,+8 Laps,,17,t,t,72,0,6,138,19,1,
139,sessionentry_1ILYi6aX,+8 Laps,,18,t,t,72,0,7,139,19,1,
