id,adjustment_type,highest_finish,is_eligible,points,position,round_id,round_number,season_id,session_id,session_number,team_id,win_count,year
1,0,1,f,0,,1,1,,1,2,1,1,1950
2,0,4,f,0,,1,1,,1,2,5,0,1950
3,0,6,f,0,,1,1,,1,2,4,0,1950
4,0,9,f,0,,1,1,,1,2,2,0,1950
5,0,,f,0,,1,1,,1,2,3,0,1950
6,0,1,f,0,,2,2,,4,2,1,2,1950
7,0,2,f,0,,2,2,,4,2,6,0,1950
8,0,3,f,0,,2,2,,4,2,2,0,1950
9,0,4,f,0,,2,2,,4,2,5,0,1950
10,0,6,f,0,,2,2,,4,2,4,0,1950
11,0,,f,0,,2,2,,4,2,3,0,1950
12,0,,f,0,,2,2,,4,2,8,0,1950
13,0,,f,0,,2,2,,4,2,7,0,1950
14,0,1,f,0,,3,3,,7,2,1,2,1950
15,0,1,f,0,,3,3,,7,2,10,1,1950
16,0,2,f,0,,3,3,,7,2,11,0,1950
17,0,2,f,0,,3,3,,7,2,6,0,1950
18,0,3,f,0,,3,3,,7,2,2,0,1950
19,0,4,f,0,,3,3,,7,2,5,0,1950
20,0,6,f,0,,3,3,,7,2,4,0,1950
21,0,6,f,0,,3,3,,7,2,23,0,1950
22,0,8,f,0,,3,3,,7,2,19,0,1950
23,0,9,f,0,,3,3,,7,2,22,0,1950
24,0,11,f,0,,3,3,,7,2,21,0,1950
25,0,12,f,0,,3,3,,7,2,20,0,1950
26,0,16,f,0,,3,3,,7,2,18,0,1950
27,0,17,f,0,,3,3,,7,2,17,0,1950
28,0,22,f,0,,3,3,,7,2,16,0,1950
29,0,23,f,0,,3,3,,7,2,15,0,1950
30,0,24,f,0,,3,3,,7,2,14,0,1950
31,0,,f,0,,3,3,,7,2,3,0,1950
32,0,,f,0,,3,3,,7,2,8,0,1950
33,0,,f,0,,3,3,,7,2,7,0,1950
34,0,,f,0,,3,3,,7,2,13,0,1950
35,0,,f,0,,3,3,,7,2,12,0,1950
36,0,,f,0,,3,3,,7,2,9,0,1950
37,0,1,f,0,,4,4,,10,2,1,3,1950
38,0,1,f,0,,4,4,,10,2,10,1,1950
39,0,2,f,0,,4,4,,10,2,11,0,1950
40,0,2,f,0,,4,4,,10,2,6,0,1950
41,0,3,f,0,,4,4,,10,2,2,0,1950
42,0,3,f,0,,4,4,,10,2,5,0,1950
43,0,6,f,0,,4,4,,10,2,4,0,1950
44,0,6,f,0,,4,4,,10,2,23,0,1950
45,0,8,f,0,,4,4,,10,2,19,0,1950
46,0,9,f,0,,4,4,,10,2,22,0,1950
47,0,11,f,0,,4,4,,10,2,21,0,1950
48,0,12,f,0,,4,4,,10,2,20,0,1950
49,0,16,f,0,,4,4,,10,2,18,0,1950
50,0,17,f,0,,4,4,,10,2,17,0,1950
51,0,22,f,0,,4,4,,10,2,16,0,1950
52,0,23,f,0,,4,4,,10,2,15,0,1950
53,0,24,f,0,,4,4,,10,2,14,0,1950
54,0,,f,0,,4,4,,10,2,3,0,1950
55,0,,f,0,,4,4,,10,2,8,0,1950
56,0,,f,0,,4,4,,10,2,7,0,1950
57,0,,f,0,,4,4,,10,2,13,0,1950
58,0,,f,0,,4,4,,10,2,12,0,1950
59,0,,f,0,,4,4,,10,2,9,0,1950
60,0,1,f,0,,5,5,,13,2,1,4,1950
61,0,1,f,0,,5,5,,13,2,10,1,1950
62,0,2,f,0,,5,5,,13,2,11,0,1950
63,0,2,f,0,,5,5,,13,2,6,0,1950
64,0,3,f,0,,5,5,,13,2,5,0,1950
65,0,3,f,0,,5,5,,13,2,2,0,1950
66,0,6,f,0,,5,5,,13,2,4,0,1950
67,0,6,f,0,,5,5,,13,2,23,0,1950
68,0,8,f,0,,5,5,,13,2,19,0,1950
69,0,9,f,0,,5,5,,13,2,3,0,1950
70,0,9,f,0,,5,5,,13,2,22,0,1950
71,0,11,f,0,,5,5,,13,2,21,0,1950
72,0,12,f,0,,5,5,,13,2,20,0,1950
73,0,16,f,0,,5,5,,13,2,18,0,1950
74,0,17,f,0,,5,5,,13,2,17,0,1950
75,0,22,f,0,,5,5,,13,2,16,0,1950
76,0,23,f,0,,5,5,,13,2,15,0,1950
77,0,24,f,0,,5,5,,13,2,14,0,1950
78,0,,f,0,,5,5,,13,2,8,0,1950
79,0,,f,0,,5,5,,13,2,7,0,1950
80,0,,f,0,,5,5,,13,2,13,0,1950
81,0,,f,0,,5,5,,13,2,12,0,1950
82,0,,f,0,,5,5,,13,2,9,0,1950
83,0,1,f,0,,6,6,,16,2,1,5,1950
84,0,1,f,0,,6,6,,16,2,10,1,1950
85,0,2,f,0,,6,6,,16,2,6,0,1950
86,0,2,f,0,,6,6,,16,2,11,0,1950
87,0,3,f,0,,6,6,,16,2,5,0,1950
88,0,3,f,0,,6,6,,16,2,2,0,1950
89,0,4,f,0,,6,6,,16,2,8,0,1950
90,0,6,f,0,,6,6,,16,2,4,0,1950
91,0,6,f,0,,6,6,,16,2,23,0,1950
92,0,8,f,0,,6,6,,16,2,19,0,1950
93,0,9,f,0,,6,6,,16,2,3,0,1950
94,0,9,f,0,,6,6,,16,2,22,0,1950
95,0,11,f,0,,6,6,,16,2,21,0,1950
96,0,12,f,0,,6,6,,16,2,20,0,1950
97,0,16,f,0,,6,6,,16,2,18,0,1950
98,0,17,f,0,,6,6,,16,2,17,0,1950
99,0,22,f,0,,6,6,,16,2,16,0,1950
100,0,23,f,0,,6,6,,16,2,15,0,1950
101,0,24,f,0,,6,6,,16,2,14,0,1950
102,0,,f,0,,6,6,,16,2,7,0,1950
103,0,,f,0,,6,6,,16,2,13,0,1950
104,0,,f,0,,6,6,,16,2,12,0,1950
105,0,,f,0,,6,6,,16,2,9,0,1950
106,0,1,f,0,,7,7,1,19,2,1,6,1950
107,0,1,f,0,,7,7,1,19,2,10,1,1950
108,0,2,f,0,,7,7,1,19,2,6,0,1950
109,0,2,f,0,,7,7,1,19,2,11,0,1950
110,0,3,f,0,,7,7,1,19,2,5,0,1950
111,0,3,f,0,,7,7,1,19,2,2,0,1950
112,0,4,f,0,,7,7,1,19,2,8,0,1950
113,0,6,f,0,,7,7,1,19,2,4,0,1950
114,0,6,f,0,,7,7,1,19,2,23,0,1950
115,0,8,f,0,,7,7,1,19,2,19,0,1950
116,0,9,f,0,,7,7,1,19,2,3,0,1950
117,0,9,f,0,,7,7,1,19,2,22,0,1950
118,0,11,f,0,,7,7,1,19,2,21,0,1950
119,0,12,f,0,,7,7,1,19,2,20,0,1950
120,0,16,f,0,,7,7,1,19,2,18,0,1950
121,0,17,f,0,,7,7,1,19,2,17,0,1950
122,0,22,f,0,,7,7,1,19,2,16,0,1950
123,0,23,f,0,,7,7,1,19,2,15,0,1950
124,0,24,f,0,,7,7,1,19,2,14,0,1950
125,0,,f,0,,7,7,1,19,2,7,0,1950
126,0,,f,0,,7,7,1,19,2,13,0,1950
127,0,,f,0,,7,7,1,19,2,12,0,1950
128,0,,f,0,,7,7,1,19,2,24,0,1950
129,0,,f,0,,7,7,1,19,2,9,0,1950
130,0,1,f,0,,8,1,,22,2,1,1,1951
131,0,2,f,0,,8,1,,22,2,6,0,1951
132,0,7,f,0,,8,1,,22,2,2,0,1951
133,0,8,f,0,,8,1,,22,2,25,0,1951
134,0,9,f,0,,8,1,,22,2,5,0,1951
135,0,,f,0,,8,1,,22,2,26,0,1951
136,0,1,f,0,,9,2,,25,2,10,1,1951
137,0,1,f,0,,9,2,,25,2,1,1,1951
138,0,2,f,0,,9,2,,25,2,6,0,1951
139,0,4,f,0,,9,2,,25,2,33,0,1951
140,0,5,f,0,,9,2,,25,2,29,0,1951
141,0,6,f,0,,9,2,,25,2,23,0,1951
142,0,7,f,0,,9,2,,25,2,2,0,1951
143,0,8,f,0,,9,2,,25,2,11,0,1951
144,0,8,f,0,,9,2,,25,2,25,0,1951
145,0,9,f,0,,9,2,,25,2,5,0,1951
146,0,,f,0,,9,2,,25,2,28,0,1951
147,0,,f,0,,9,2,,25,2,30,0,1951
148,0,,f,0,,9,2,,25,2,32,0,1951
149,0,,f,0,,9,2,,25,2,21,0,1951
150,0,,f,0,,9,2,,25,2,26,0,1951
151,0,,f,0,,9,2,,25,2,31,0,1951
152,0,,f,0,,9,2,,25,2,27,0,1951
153,0,,f,0,,9,2,,25,2,19,0,1951
154,0,,f,0,,9,2,,25,2,9,0,1951
155,0,1,f,0,,10,3,,28,2,1,2,1951
156,0,1,f,0,,10,3,,28,2,10,1,1951
157,0,2,f,0,,10,3,,28,2,6,0,1951
158,0,4,f,0,,10,3,,28,2,5,0,1951
159,0,4,f,0,,10,3,,28,2,33,0,1951
160,0,5,f,0,,10,3,,28,2,29,0,1951
161,0,6,f,0,,10,3,,28,2,23,0,1951
162,0,7,f,0,,10,3,,28,2,2,0,1951
163,0,8,f,0,,10,3,,28,2,11,0,1951
164,0,8,f,0,,10,3,,28,2,25,0,1951
165,0,,f,0,,10,3,,28,2,28,0,1951
166,0,,f,0,,10,3,,28,2,30,0,1951
167,0,,f,0,,10,3,,28,2,32,0,1951
168,0,,f,0,,10,3,,28,2,21,0,1951
169,0,,f,0,,10,3,,28,2,26,0,1951
170,0,,f,0,,10,3,,28,2,31,0,1951
171,0,,f,0,,10,3,,28,2,27,0,1951
172,0,,f,0,,10,3,,28,2,19,0,1951
173,0,,f,0,,10,3,,28,2,9,0,1951
174,0,1,f,0,,11,4,,31,2,1,4,1951
175,0,1,f,0,,11,4,,31,2,10,1,1951
176,0,2,f,0,,11,4,,31,2,6,0,1951
177,0,4,f,0,,11,4,,31,2,5,0,1951
178,0,4,f,0,,11,4,,31,2,33,0,1951
179,0,5,f,0,,11,4,,31,2,29,0,1951
180,0,6,f,0,,11,4,,31,2,23,0,1951
181,0,7,f,0,,11,4,,31,2,2,0,1951
182,0,8,f,0,,11,4,,31,2,11,0,1951
183,0,8,f,0,,11,4,,31,2,25,0,1951
184,0,,f,0,,11,4,,31,2,8,0,1951
185,0,,f,0,,11,4,,31,2,28,0,1951
186,0,,f,0,,11,4,,31,2,30,0,1951
187,0,,f,0,,11,4,,31,2,32,0,1951
188,0,,f,0,,11,4,,31,2,21,0,1951
189,0,,f,0,,11,4,,31,2,26,0,1951
190,0,,f,0,,11,4,,31,2,31,0,1951
191,0,,f,0,,11,4,,31,2,27,0,1951
192,0,,f,0,,11,4,,31,2,19,0,1951
193,0,,f,0,,11,4,,31,2,9,0,1951
194,0,1,f,0,,12,5,,34,2,1,4,1951
195,0,1,f,0,,12,5,,34,2,6,1,1951
