id,api_id,driver_id,role,season_id,team_id
1,teamdriver_LSox06Od,1,,1,1
2,teamdriver_bLowFOCJ,2,,1,1
3,teamdriver_d8PF1G74,3,,1,1
4,teamdriver_DuMzxcI2,4,,1,5
5,teamdriver_0BTCGA9I,5,,1,5
6,teamdriver_WLosNKTu,6,,1,4
7,teamdriver_eefZHC4n,7,,1,4
8,teamdriver_KALDUuy4,8,,1,5
9,teamdriver_pzWRMI8C,9,,1,2
10,teamdriver_1jgFtLvp,11,,1,2
11,teamdriver_F8LVjLq6,10,,1,2
12,teamdriver_WWZsjTLo,12,,1,5
13,teamdriver_9REtc3GO,13,,1,1
14,teamdriver_06fr2NkS,14,,1,3
15,teamdriver_UHIvUOEl,15,,1,2
16,teamdriver_L2FZYdaA,16,,1,2
17,teamdriver_mKGZOfak,17,,1,3
18,teamdriver_lnnqpzOv,18,,1,2
19,teamdriver_yr9A1oVC,19,,1,2
20,teamdriver_hOJAK4ps,20,,1,5
21,teamdriver_qABP443J,22,,1,4
22,teamdriver_DDSxDVPf,21,,1,4
23,teamdriver_52akUMcm,23,,1,4
24,teamdriver_3G2SACp0,24,,1,6
25,teamdriver_l0P4UPj4,25,,1,6
26,teamdriver_W3ncdwhj,26,,1,6
27,teamdriver_lVSPL9wh,27,,1,2
28,teamdriver_dP7Hxcrb,28,,1,8
29,teamdriver_j2uW4shr,29,,1,8
30,teamdriver_8oBhUk5G,30,,1,2
31,teamdriver_AuoxG1jy,31,,1,7
32,teamdriver_BhxOkl14,32,,1,6
33,teamdriver_mS5e4svS,33,,1,2
34,teamdriver_VuHXDPqF,34,,1,10
35,teamdriver_1BTbGdkA,35,,1,11
36,teamdriver_cUz5AOzF,36,,1,11
37,teamdriver_rXrmQCdn,37,,1,10
38,teamdriver_coPtOZQN,38,,1,10
39,teamdriver_mTrAi6I7,39,,1,10
40,teamdriver_4kwTJ4t5,40,,1,23
41,teamdriver_7hFuRKGi,41,,1,10
42,teamdriver_EtJ2ZjtF,42,,1,19
43,teamdriver_LFXZgtCZ,43,,1,22
44,teamdriver_zEOsJbQP,44,,1,10
45,teamdriver_TVFSmmT8,45,,1,21
46,teamdriver_zPU59IGm,46,,1,20
47,teamdriver_gOf2tpPp,47,,1,10
48,teamdriver_VdUdoMhl,48,,1,10
49,teamdriver_AlCLvhDc,49,,1,19
50,teamdriver_ctnzjR4t,50,,1,18
51,teamdriver_wRcy7qel,51,,1,17
52,teamdriver_1Uhe5xL2,52,,1,10
53,teamdriver_jDA5NcRb,53,,1,10
54,teamdriver_tix6Ecqt,54,,1,2
55,teamdriver_rSBKdsQr,55,,1,10
56,teamdriver_jcSADLav,56,,1,16
57,teamdriver_B11k7OFP,57,,1,15
58,teamdriver_xdTW11Ga,58,,1,14
59,teamdriver_wh8MrsaO,59,,1,2
60,teamdriver_NBcGyCsz,60,,1,13
61,teamdriver_QaXU0Yu0,61,,1,12
62,teamdriver_VsFhBsal,62,,1,12
63,teamdriver_2GTnCaR2,63,,1,10
64,teamdriver_Dc8GzgIg,64,,1,10
65,teamdriver_3PWBemne,65,,1,10
66,teamdriver_KvFkF3B1,38,,1,11
67,teamdriver_rNKqSyok,66,,1,9
68,teamdriver_s7QPab92,67,,1,10
69,teamdriver_BFjyo6EZ,68,,1,2
70,teamdriver_b1NFmK4x,69,,1,2
71,teamdriver_GqgMXKqa,31,,1,5
72,teamdriver_1y2vLNGY,70,,1,2
73,teamdriver_lYdLwp7e,71,,1,5
74,teamdriver_slsar9ly,72,,1,5
75,teamdriver_6CRQinFN,25,,1,5
76,teamdriver_wYA3ZVh7,73,,1,5
77,teamdriver_EXVQUZTc,3,,1,2
78,teamdriver_C0TgqXrR,74,,1,6
79,teamdriver_pFaKCRS5,75,,1,5
80,teamdriver_M37Z9ril,76,,1,1
81,teamdriver_8sWPg6zS,77,,1,6
82,teamdriver_gDJj3mGY,78,,1,5
83,teamdriver_CkFANWDX,79,,1,2
84,teamdriver_6tTxcpbX,80,,1,1
85,teamdriver_tPhRanbo,81,,1,2
86,teamdriver_TmjVtn2G,68,,1,24
87,teamdriver_MB1lFsO8,13,,2,1
88,teamdriver_LTIPOpxX,76,,2,6
89,teamdriver_5mr8Ege6,1,,2,1
90,teamdriver_VW9ZaN8n,80,,2,1
91,teamdriver_9fG0pT58,18,,2,1
92,teamdriver_v348hl2P,24,,2,6
93,teamdriver_q2mefRE8,19,,2,2
94,teamdriver_MLo9oSuo,82,,2,25
95,teamdriver_OBKbzfZy,5,,2,5
96,teamdriver_rlrD0kER,8,,2,5
97,teamdriver_f44NqjRT,83,,2,6
98,teamdriver_lrz4pjLx,31,,2,2
99,teamdriver_7Gz77Y7s,12,,2,5
100,teamdriver_d6D5qT6r,75,,2,5
101,teamdriver_DwY2efWc,32,,2,6
102,teamdriver_tHguoU3W,78,,2,5
103,teamdriver_qttsjYgG,84,,2,25
104,teamdriver_iQqZS2kY,4,,2,5
105,teamdriver_ilUMiGZu,26,,2,6
106,teamdriver_SNMHwhSj,27,,2,5
107,teamdriver_PY9ut7GJ,85,,2,26
108,teamdriver_gYMWAxrT,40,,2,10
109,teamdriver_Vt9cZeKW,86,,2,10
110,teamdriver_YesWBjUI,48,,2,10
111,teamdriver_i4Butflu,87,,2,10
112,teamdriver_O6Zz3bxO,88,,2,33
113,teamdriver_5k3yL4Tp,89,,2,29
114,teamdriver_BZ7nK5Dd,59,,2,23
115,teamdriver_xKbIJ4fG,90,,2,10
116,teamdriver_bRbZIp7T,46,,2,11
117,teamdriver_KrZGN5RR,38,,2,11
118,teamdriver_DHGfRjra,91,,2,10
119,teamdriver_zCzPVyrI,92,,2,10
120,teamdriver_NU8Wjw8t,65,,2,10
121,teamdriver_720zlaKt,60,,2,10
122,teamdriver_a618KXaV,36,,2,11
123,teamdriver_wqUuE6HV,41,,2,28
124,teamdriver_Z57Muzcy,51,,2,30
125,teamdriver_U6SMvmO0,63,,2,10
126,teamdriver_LZGPifIw,93,,2,10
127,teamdriver_2PRn7OAT,94,,2,32
128,teamdriver_6paML5UD,95,,2,21
129,teamdriver_xr7agqP3,34,,2,10
130,teamdriver_zURw8jTc,37,,2,10
131,teamdriver_uDcm39HE,49,,2,10
132,teamdriver_3dHVj66u,67,,2,29
133,teamdriver_aVzgl8z7,96,,2,10
134,teamdriver_yQDfBmfd,53,,2,10
135,teamdriver_tsnPICJn,97,,2,31
136,teamdriver_WMWFuwoG,98,,2,10
137,teamdriver_DWbMLw3w,99,,2,27
138,teamdriver_ZzmeHV02,42,,2,19
139,teamdriver_dqlcHrI1,47,,2,11
140,teamdriver_vfCmV2D3,52,,2,2
141,teamdriver_WCNReaJE,100,,2,9
142,teamdriver_OdgEw8v0,101,,2,5
143,teamdriver_uH0jy32d,71,,2,5
144,teamdriver_QoezlveD,19,,2,5
145,teamdriver_Jqsw2t3D,2,,2,1
146,teamdriver_wfsVObvs,27,,2,6
147,teamdriver_vV2tbvpJ,3,,2,6
148,teamdriver_i8BC3eSD,72,,2,5
149,teamdriver_I8EDdmIN,102,,2,8
150,teamdriver_hLpr1ofK,29,,2,8
151,teamdriver_x5Er3bpT,103,,2,8
152,teamdriver_WnERPG8g,28,,2,8
153,teamdriver_c466Q6uu,104,,2,2
154,teamdriver_TWquNDUq,18,,2,2
155,teamdriver_ABfNCcTV,68,,2,1
156,teamdriver_IeNwGR1e,3,,2,34
157,teamdriver_fPxxvd4i,21,,2,34
158,teamdriver_CZTdfuIP,10,,2,4
159,teamdriver_6Tm9UEKy,6,,2,4
160,teamdriver_Yip1nc4p,105,,2,5
161,teamdriver_WgM6YGLP,14,,2,3
162,teamdriver_6Ch5Hniv,106,,2,2
163,teamdriver_ATEFDtfR,16,,2,2
164,teamdriver_jpeTttWB,107,,2,2
165,teamdriver_f03QHGby,108,,2,5
166,teamdriver_eBNp7k42,81,,2,1
167,teamdriver_GO6jLY9F,70,,2,2
168,teamdriver_FtGgfF0m,30,,2,35
169,teamdriver_espZYMJ8,109,,2,6
170,teamdriver_VXAJTzbS,110,,2,34
171,teamdriver_xlbyVyJl,111,,2,2
172,teamdriver_l511kGCK,112,,2,5
173,teamdriver_qg9mXpyJ,15,,2,2
174,teamdriver_YXl63RC1,113,,2,2
175,teamdriver_VehAlpko,76,,3,6
176,teamdriver_n8GIpNws,83,,3,6
177,teamdriver_ebJi4S2S,114,,3,36
178,teamdriver_L9sdcvt0,115,,3,38
